Number;Nama Media;Jenis Media;Penanggung Jawab;Pemimpin Redaksi;Badan Hukum;Provinsi;Alamat;Telp;Email;Website;Status;Tgl Approve
33;mediasinergi.co;Siber;Ismail Asnawi;Ismail Asnawi;Media Sinergi Cyber;Sulawesi Selatan;Jl Sawerigading Hunian HS Sawerigading Blok B No. 8 Sengkang Kabupaten Wajo Sulawesi selatan;0811428778;mediasinergicyber@gmail.com;mediasinergi.co;Terverifikasi Administratif;2021-06-28
34;natindonews.com;Siber;Edi Suroso;Edi Suroso;Tuah Natuna Media Gemilang;Kepulauan Riau;Ruko, Jl. Adam Malik, Batu Hitam, Bunguran Timur;081276607209;natindonewsoke@gmail.com;natindonews.com;Terverifikasi Administratif;2021-06-14
35;SuaraKarya.id;Siber;AAGDWA Ariwangsa;AAGDWA Ariwangsa;Media Karya Digital;DKI Jakarta;Jl. Jend. Gatot Subroto, Komplek Timah No. 20Jakarta Selatan 12870;02128542498;suarakaryajuara@gmail.com;https://www.suarakarya.id/;Terverifikasi Administratif dan Faktual;2021-06-09
36;Lombok Post;Cetak;Haliludin;HALILUDIN;Suaranusa Media Pratama;Nusa Tenggara Barat;Jl. Tgh. Faisal, No.33 Sandubaya, Kota Mataram;081935435999;lombokpost.hrd@gmail.com;lombokpost.jawapos.com;Terverifikasi Administratif dan Faktual;2021-06-09
37;lombokpost.jawapos.com;Siber;Haliludin;Haliludin;Suara Nusa Media Pratama;Nusa Tenggara Barat;Graha Pena Lombok, Jl. TGH Faisal No. 33 Sandubaya;0370-673400;zulhakim00@gmail.com;https://lombokpost.jawapos.com;Terverifikasi Administratif dan Faktual;2021-06-09
38;ignnews.id;Siber;Nizamul Akhyar;Nizamul Akhyar;Media Cakrawala Anambas;Kepulauan Riau;Jl. Tanjung Baruk, RT 003/RW 002. Dusun I Batu Balai, Kecamatan Siantan, Kabupaten Kepuluan Anambas – Kepulauan Riau;+62 821-7777-1981;ignnews0@gmail.com;https://ignnews.id/;Terverifikasi Administratif;2021-06-09
39;Detiksumsel.com;Siber;Deby Arianto;Deby Arianto;Numa Global Media;Sumatera Selatan;Jl. Letnan Murod Talang Ratu Km.5 No.725 RT 16/05;0711-571-6840 / 812-7138-2885;detiksumsel@gmail.com;https://www.detiksumsel.com/;Terverifikasi Administratif;2021-06-09
40;infosulawesi.com;Siber;Yulhaidir Ibrahim H;Yulhaidir Ibrahim H;Solusindo Intermedia Sulawesi;Sulawesi Selatan;Jl. Andi Tenriadjeng RT. 002 / RW. 001 Kota Palopo - Sulawesi Selatan;0811426970;infosulawesidotcom@gmail.com;infosulawesi.com;Terverifikasi Administratif;2021-06-03
41;jejakrekam.com;Siber;Didi Gunawan Sanusi;Didi Gunawan Sanusi;Jejak Rekam Bhanuwa;Kalimantan Selatan;Jalan Bengkirai No 117 RT 13 RW 02, Kompleks Banjar Indah Permai, Kelurahan Pemurus Dalam, Kecamatan Banjarmasin Selatan;WA O85386441171/HP 08214840825;rekamjejak07@gmail.com;www.jejakrekam.com;Terverifikasi Administratif;2021-06-03
42;Dulohupa.id;Siber;A Muhammad Yusuf A. Arifudin;A Muhammad Yusuf A. Arifudin;Dulohupa Multi Media;Gorontalo;Jalan MH. Thamrin, No.71J, RT/RW 002/002, Limba U 1, Kota Selatan, Kota Gorontalo, Gorontalo-96115;085240123333;dulohupaid@gmail.com;http://dulohupa.id/;Terverifikasi Administratif dan Faktual;2021-06-03
43;pojokbatam.id;Siber;Parna Edison Simarmata;Parna Edison Simarmata;Benhur Perkasa Multimedia;Kepulauan Riau;Graha Pena Lt.6 R.607 Batam Kota, Kel. TelukTering, Kec. Batam Kota, Batam, Prov. Kepulauan Riau;+627784161085;benhurperkasamultimedia@gmail.com;www.pojokbatam.id;Terverifikasi Administratif dan Faktual;2021-06-03
44;acikepri.com;Siber;Edi Suroso;Edi Suroso;Wahana Media Aci Kepri;Kepulauan Riau;Perum. Muka Kuning Indah Blok A No.1, Batu Aji;081372079217;acikepri01@gmail.com;www.acikepri.com;Terverifikasi Administratif dan Faktual;2021-06-03
45;satujuang.com;Siber;Wibowo Susilo;Wibowo Susilo;Satujuang Jaya Abadi;Bengkulu;Jl DP Negara 3 No.31 Rt.46 Rw.05 Kelurahan Pagar Dewa Kecamatan Selebar;085788176007;admsatujuang@gmail.com;satujuang.com;Terverifikasi Administratif;2021-06-03
46;referensipublik.com;Siber;Junaidi Ibnurahman;Feri Safran Edi Wijaya;Marak Referensi Publik;Bengkulu;Jln.Bering Raya, Kelurahan Padang Jati, Kecamatan Ratu Samban Kota Bengkulu.;085758309612;gugunsuhendar315@yahoo.com;www.referensipublik.com;Terverifikasi Administratif;2021-06-03
47;SultengTerkini.com;Siber;Agus Panca Saputra;Agus Panca Saputra;Media Sulawesi Terkini;Sulawesi Tengah;Jl. RE. Martadinata No. 03 Kelurahan Tondo;+628114567801;sultengterkini.com@gmail.com;http://sultengterkini.com;Terverifikasi Administratif;2021-06-03
48;sentralnews.com;Siber;Atma Yuda;Atma Yuda;Media Sentral Siber;Bengkulu;Jalan Perum Puri Mas Blok J Nomor 001 RT 024 RW 001 Kelurahan Bentiring Kecamatan Muara Bangkahulu Kota Bengkulu;081368902691;sentralnewsmedia@gmail.com;www.sentralnews.com;Terverifikasi Administratif dan Faktual;2021-05-30
49;owntalk.co.id;Siber;Ramon Damora;Ramon Damora;Alfa Cakrawala Indonesia;Kepulauan Riau;Ruko King Business Centre Blok A5.No 18, Kecamatan Batam Kota, Kota Batam - Kepulauan Riau;085265023765;acank42@gmail.com;https://owntalk.co.id/;Terverifikasi Administratif dan Faktual;2021-05-30
50;kepriglobal.com;Siber;Anwar Saleh;Anwar Saleh;Kepri Global Media;Kepulauan Riau;Komplek Ruko Glory View II Blok C No.10;(0778) 4806376;kepriglobal37@gmail.com;www.kepriglobal.com;Terverifikasi Administratif dan Faktual;2021-05-30
51;acehbisnis.com;Siber;Iranda Novandi;Iranda Novandi;Khanza Utama Aceh Bisnis;Aceh;Lr Blang Sawang, Jl Tgk Jelara, Desa Cot Lamkuweuh, Kecamatan Meuraxa;085260335111;redaksi@acehbisnis.com/redaksiacehbisnis@gmail.com;https://www.acehbisnis.com/;Terverifikasi Administratif dan Faktual;2021-05-30
52;anteroaceh.com;Siber;Zulfikar Syarif;Zulfikar Syarif;Aceh Cipta Media (ATADIA);Aceh;Jalan Rel Kereta Api Lama, Komplek ATC, Desa Meunasah Manyang Pagar Air, Kecamatan Ingin Jaya;08116850501;anteroaceh@gmail.com;http://anteroaceh.com/;Terverifikasi Administratif dan Faktual;2021-05-30
53;metropolis.id;Siber;Ariadi B Jangka;Ariadi B Jangka;Metro Inter Media;Aceh;Jln. Cut Makmun No 1C, Gampong Beurawe, Kecamatan Kuta Alam, Kota Banda Aceh;082269542241;redaksimetropolis.id@gmail.com;http://metropolis.id/;Terverifikasi Administratif dan Faktual;2021-05-30
54;Ritmee.co.id;Siber;Buyung Maksum;Buyung Maksum;Asa mandiri multimedia;Sulawesi Selatan;JL KHM Razak Nomor 40;085242421178;redaksiritmee@gmail.com;www.ritmee.co.id;Terverifikasi Administratif;2021-05-30
55;Suarabatam.com;Siber;Jhony Prasetya;Jhony Prasetya;Media Trans Suara;Kepulauan Riau;Ruko Puri Residence Blok A No 33 Batam Kota;081270074577;red.suarabatam@gmail.com;suarabatam.com;Terverifikasi Administratif dan Faktual;2021-05-30
56;beritamerdeka.net;Siber;Iranda Novandi;Iranda Novandi;Berita Merdeka Multimedia;Aceh;Jl. Bahagia No. 064 Punge Blang Cut Kec. Jaya Baru Banda Aceh;082360604164;beritamerdeka.net@gmail.com;WWW.BERITAMERDEKA.NET;Terverifikasi Administratif dan Faktual;2021-05-30
57;infosatu.co;Siber;Samsul Arifin;Samsul Arifin;Media Rizqi Pratama;Kalimantan Timur;Jalan P. Suryanata Gg Kopta D-15 RT.58 Air Putih Samarinda Ulu;0813 5067 0555;redaksinfosatu@gmail.com;https//www.infosatu.co;Terverifikasi Administratif dan Faktual;2021-05-30
58;Insitekaltim.com;Siber;Samsul Arifin;Samsul Arifin;Media Pratama insite Indonesia;Kalimantan Timur;Jalan P. Suryanata Gg Kopta D-15 RT.58 Air Putih Samarinda Ulu;0812 4855 8518;redaksiinsitekaltim@gmail.com;https//insitekaltim.com;Terverifikasi Administratif dan Faktual;2021-05-30
59;seru.co.id;Siber;Achmad Ali Abdul Majid;Achmad Ali Abdul Majid;Aguna Don Amertha;Jawa Timur;Jl. MT. Haryono 1A Blok B-6 Lantai 2 Komplek Ruko Istana Dinoyo;0341 557727;redaksi.seru@gmail.com;https://seru.co.id;Terverifikasi Administratif;2021-05-30
60;radarmadiun.co.id;Siber;Tommy Cahyo Gutomo;Tommy Cahyo Gutomo;Madiun Intermedia Pers;Jawa Timur;Jalan DI Panjaitan 12 Kelurahan Pandean, Kecamatan Taman;0351-468801;digital.radarmadiun@gmail.com;radarmadiun.co.id;Terverifikasi Administratif dan Faktual;2021-05-30
61;datakepri.com;Siber;Yefrizal;Yefrizal;Media Data Kepri;Kepulauan Riau;Jalan Hutan Lindung No. 03, RT 2 RW 5, Kelurahan Tanjungpinang Timur, Kecamatan Bukit Bestari, Kota Tanjungpinang, Provinsi Kepulauan Riau.Email : datakepri2017@gmail.com;0771 28917;datakepri2017@gmail.com;datakepri.com;Terverifikasi Administratif;2021-05-25
62;indomen.co.id;Siber;Lailatul Aidil;Lailatul Aidil;Lansani Multimedia Sumbar;Sumatera Barat;Jl.Seberang Padang Utara I No.213 RT 01 RW 03;081266688277;indomenpost@gmail.com;indomen.co.id;Terverifikasi Administratif;2021-05-25
63;sentralberita.com;Siber;Husni Lubis;Husni Lubis;Sentral Media Kreasi Nusantara;Sumatera Utara;Jalan karya kasih gg. kasih dalam No.37 Medan Johor Pangkalan mansyhur;082164617324;redaksisentralberita@gmail.com;sentralberita.com;Terverifikasi Administratif;2021-05-25
64;teraskata.com;Siber;Asdar;Asdar;Rania Press Mediatama;Sulawesi Selatan;Jalan Trans Sulawesi, Perumahan Permata Tiro Somba Kelurahan Batu Walenrang, Kecamatan Telluwanua;085240865331;redaksi.teraskata@gmail.com;teraskata.com;Terverifikasi Administratif;2021-05-25
65;fornews.co;Siber;Romi Maradona;Romi Maradona;Sentral Informasi Berdaya;Sumatera Selatan;Jalan Volley G 8, Kelurahan Lorok Pakjo, Kecamatan Ilir Barat I;0812 7318 1867 dan 0813 73723030;vallimo.totto@gmail.com;https://fornews.co;Terverifikasi Administratif;2021-05-21
66;enimekspres.co.id;Siber;Mukhlis Trijaya;Mukhlis Trijaya;Enim Ekspres Mandiri;Sumatera Selatan;Lantai 2, Gedung Harian Umum Enim Ekspres. Jalan Lintas Palembang, RT.001 RW.008 Muara Enim, Kabupaten Muara Enim;+62 812-7890-6533;enimekspres.online@gmail.com;enimekspres.co.id;Terverifikasi Administratif;2021-05-21
67;silabuskepri.co.id;Siber;Gusmanedy Sibagariang;Gusmanedy Sibagariang;Goes Siber Mandiri Sukses;Kepulauan Riau;Kompleks Ruko Rabayu Blok E No. 2 Tembesi, Sagulung, Kota Batam, Kepulauan Riau, Indonesia Kode pos : 29439;081276508557/08127063321;redaksisilabuskepri@gmail.com;www.silabuskepri.co.id;Terverifikasi Administratif dan Faktual;2021-05-19
68;global-news.co.id;Siber;Erfandi Putra;Erfandi Putra;Global Media Prima;Jawa Timur;Jl. Cipta Menanggal VI / 7 Surabaya;031 8281712;gnewsredaksionline@gmail.com;www.global-news.co.id;Terverifikasi Administratif dan Faktual;2021-05-19
69;rakyatsulsel.co;Siber;Lukman;4269-PWI/WU/DP/I/2013/27/07/77;Media Rakyat Sulselbar;Sulawesi Selatan;Jl. Sultan Alauddin Jl. Ruko Komp. Permatasari No.25, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221;+624118980929;raksulonline@gmail.com;www.rakyatsulsel.co;Terverifikasi Administratif dan Faktual;2021-05-19
70;fajar.co.id;Siber;Agus Salim Alwi Hamu;Rasid;Fajar National Network;Sulawesi Selatan;Jl. Urip Sumoharjo No. 20 Gedung Graha Pena Makassar Lt. 4;0411 - 441441;redaksifajaronline@gmail.com;https://fajar.co.id/;Terverifikasi Administratif dan Faktual;2021-05-18
71;Bizlaw.Id;Siber;Amin Suciady;Amin Suciady;Nusantara Digital Bisnis;DKI Jakarta;Gedung Graha Sukandamulia Lt. 2 Jl. Tomang Raya Kav 71-73 Jakarta Barat;0215636242;redaksi@bizlaw.id;bizlaw.id;Terverifikasi Administratif dan Faktual;2021-05-18
72;Satelit News;Cetak;Deddy Maqsudi;Deddy Maqsudi;Wahana Masa Merdeka;Banten;Komp. Gren Gaden A.1/2, Jl. MH. Thamrin KM. 7 Kebon Nanas, Panunggangan Utara, Pinang;(021) 55743519;satelitnews13@gmail.com;;Terverifikasi Administratif dan Faktual;2021-05-18
73;Dailypost.id;Siber;Usman Mato;Usman Mato;Karunia Media Kreatif;Gorontalo;Jl. Kusno Tongkodu Blok E lt. 2 Kelurahan Dutulanaa Kecamatan Limboto;082344383884;dailypostgo@gmail.com;http://Dailypost.id;Terverifikasi Administratif dan Faktual;2021-05-18
74;Majalah Tempo;Cetak;Wahyu Dhyatmika;Wahyu Dhyatmika;Tempo Inti Media Harian;DKI Jakarta;Gedung Tempo Lantai, Jl. Palmerah Barat No.8, Gogol Utara, Kebayoran Lama;021-5360409;red@tempo.co.id;www.tempo.co, www.korporat.tempo.co;Terverifikasi Administratif dan Faktual;2021-05-18
75;newsnesia.id;Siber;Sunarto Nusi;Sunarto Nusi;Nesia Infiniti Media;Gorontalo;Jalan Ternate, Kelurahan Tapa, Kecamatan Sipatana, RT 4 RW3 Kota Gorontalo;085214976118;redaksinewsnesia@gmail.com;https://newsnesia.id;Terverifikasi Administratif dan Faktual;2021-05-18
76;readtimes.id;Siber;Mahbub;Mahbub;Indonesia Data Kreatif;Sulawesi Selatan;Jalan Parumpa 2 Ruko Daya Indah C16;085343763699;pt.idecindonesia@gmail.com;https://readtimes.id;Terverifikasi Administratif dan Faktual;2021-05-18
77;Ikilhojatim.com;Siber;Mat Khozin;Mat Khozin;Iki Lho Jatim;Jawa Timur;Perumahan Wisma Tropodo Jalan Aster AG Nomor 1, Tropodo Wetan, Waru, Sidoarjo;081231164599;redaksi@ikilhojatim.com;www.ikilhojatim.com;Terverifikasi Administratif;2021-05-17
78;Mediakaltim.com;Siber;Agus Susanto;Agus Susanto;Media Kaltim Promosindo;Kalimantan Timur;Jalan Gunung Kawi Nomor 3 BSD Kelurahan Gunung Elai Kecamatan Bontang Utara Kota Bontang;0823-5236-5484/0811-580-2340;redaksi@mediakaltim.com;mediakaltim.com;Terverifikasi Administratif;2021-05-17
79;gerbangindonesia.co.id;Siber;Nasrudin;Nasrudin;Gerbang Media Cemerlang;Nusa Tenggara Barat;Jalan Pelikan No 07, Pajang Timur, Mataram;087865814646;mediagerbangindonesia@gmail.com;www.gerbangindonesia.co.id;Terverifikasi Administratif;2021-05-17
80;Intimnews.com;Siber;Abdul Hafid;Abdul Hafid;Intim Media Perkasa;Kalimantan Tengah;Jl G Obos VII A No 03, Kelurahan Menteng, Kec Jekan Raya, Kota Palagka Raya;082157777714;newsintim@yahoo.com;www.intimnews.com;Terverifikasi Administratif;2021-05-17
81;Komentaren.net;Siber;Norman Meoko;Norman Meoko;Trensulut Media Cemerlang;Sulawesi Utara;Citraland Miracle Walk 5 Nomor 10 Kelurahan Bumi Nyiur, Kota Manado;08114333988;trensulut@gmail.com;www.komentaren.net;Terverifikasi Administratif;2021-05-17
82;Parepos.co.id;Siber;Ade Cahyadi;Ade Cahyadi;Ajatappareng Mega Media;Sulawesi Selatan;JL.Bau Massepe Nomor 2 Kel.Cappa Galung kec.Bacukiki Barat;(0421) 25217;onlineparepos721@gmail.com;Parepos.co.id;Terverifikasi Administratif;2021-05-17
83;monitorindonesia.com;Siber;Hendro Heri Suharyono;Hendro Heri Suharyono;Media Elenora Utama;DKI Jakarta;Jl Galur Sari I No. 44 Utan Kayu;021 - 22813611, 08129478338;redaksimonitorindonesia@gmail.com, redaksi@monitorindonesia.com;www.monitorindonesia.com;Terverifikasi Administratif;2021-05-17
84;tangselpos.id;Siber;Ari Supriadi;Ari Supriadi;Tangsel Media Utama;Banten;Griya Pena Ruko Golden Road Blok C32/12;021 53150542;tangselpos.id@gmail.com;tangselpos.id;Terverifikasi Administratif;2021-05-17
85;Harian Mistar;Cetak;Rika Suartiningsih;Rika Suartiningsih;Bintang Berita Abadi;Sumatera Utara;Jalan Ade Irma Suryani No.3A, Kelurahan Martoba, Kecamatan Siantar Utara, Kota Pematang Siantar, Sumatera Utara;0622-7431343;harianmistar@yahoo.com;www.mistar.id;Terverifikasi Administratif;2021-05-01
86;Efarina Televisi;Televisi;Daniel Pekuwali;Daniel Pekuwali;Efarina Televisi;Sumatera Utara;Jl. Parahot No. 26 Kelurahan Nagori Pamatang Simalungun Kecamatan Siantar Kabupaten Simalungun 21151;082167967949;redaksiefarinatv@gmail.com;www.efarina.com;Terverifikasi Administratif;2021-05-01
87;Sariagri.id;Siber;Nurjaman Mochtar;Nurjaman Mochtar;Intisari Media Nusantara;DKI Jakarta;Jalan Tebet Timur Dalam Raya No. 55A, Tebet Jakarta 12820;021 - 22083581;redaksi@sariagri.id;sariagri.id;Terverifikasi Administratif;2021-05-01
