"Bab";"Topik";"Pasal";"Deskripsi"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 113";"(1) Barang siapa dengan sengaja, untuk seluruhnya atau sebagian mengumumkan, 
atau memberitahukan maupun menyerahkan kepada orang yang tidak berwenang 
mengetahui, surat-surat, peta-peta, rencana-rencana, gambar-gambar atau 
benda-benda yang bersifat rahasia yang bersangkutan dengan pertahanan atau 
keamanan Indonesia terhadap serangan dari luar, yang ada padanya atau yang 
isinya, bentuknya atau susunanya benda- benda itu diketahui olehnya, diancam 
dengan pidana penjara paling lama empat tahun.
(2) Jika surat-surat atau benda-benda ada pada yang bersalah, atau 
pengetahuannya tentang itu karena pencariannya, pidananya dapat ditambah 
sepertiga. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 114";"Barang siapa karena kesalahannya (kealpaannya) menyebabkan surat-surat atau 
benda- benda rahasia sebagaimana yang dimaksudkan dalam pasal 113 harus menjadi 
tugasnya untuk menyimpan atau menaruhnya, bentuk atau susunannya atau seluruh 
atau sebagian diketahui oleh umum atau dikuasai atau diketahui oleh orang lain 
(atau) tidak berwenang mengetahui, diancam dengan pidana penjara paling lama 
satu tahun enam bulan atau pidana kurungan paling lama satu tahun atau pidana 
denda paling tinggi empat ribu lima ratus rupiah. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 115";"Barang siapa melihat atua membaca surat-surat atau benda-benda rahasia 
sebagaimana dimaksud dalam pasal 113, untuk seluruhnya atau sebagian, sedangkan 
diketahui atau selayaknya harus diduganya bahwa benda-benda itu tidak dimaksud 
untuk diketahui olehnya, begitu pula jika membuat atau menyuruh membuat salinan 
atau ikhtisar dengan huruf atau dalam bahasa apa pun juga, membuat atau menyuruh 
buat teraan, gambaran atau jika tidak menyerahkan benda-benda itu kepada pejabat 
kehakiman, kepolisian atau pamongh praja, dalam hal benda-benda itu ke 
tangannya, diancam dengan pidana penjara palling lama tiga tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 116";"Permufakatan jahat untuk melakukan kejahatan sebagaimana diamksud dalam pasal 
113 dan 115, diancam dengan pidana penjara paling lama satu atahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 117";"Diancam dengan pidana penjara paling lama enam bulan atau denda paling banyak 
empat ribu lima ratus rupiah, barang siapa tanpa wenang. 
1. dengan sengaja memasuki bangunan Angkatan Darat atau Angkatan Laut, atau 
memasuki kapal perang melalui jalan yang bukan jalan biasa; 
2. dengan sengaja memasuki daerah, yang oleh Presiden atau atas namanya, atau 
oleh penguasa tentara ditentukan sebagai daerah tentara yang dilarang;
3. dengan sengaja membuat, mengumpulkan, mempunyai, menyimpan, menyembunyikan 
atau mangangkut gambat potret atau gambar tangan maupun keterangan-keterangan 
atau petunjuk-petunjuk lain mengenai daerah seperti tersebut dalam pasal ke-2, 
beserta segala sesuatu yang ada disitu. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 118";"Diancam dengan pidana penjara paling lama dua tahun atau denda sembilan ribu 
rupiah, barang siapa tanpa wenang, sengaja membuat, mengumpulkan, mempunyai, 
menyimpan, menyembunyikan atau petunjuk-petunjuk lain mengenai sesuatu hal yang 
bersangkutan dengan kepentingan tentara. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 119";"Diancam dengan pidana penjara paling lama satu tahun: 
1. barang siapa memberi pondokan kepada orang lain, yang diketahuinya mempunyai 
niat atau sedang mencoba untuk mengetahui benda-benda rahasia seperti tersebut 
dalam pasal 113, padahal tidak wenang untuk itu, atau mempunyai niat atau sedang 
mencoba untuk mengetahui letak, bentuk, susunan, persenjataan, perbekalan, 
perlengkapan mesin, atau kekuatan orang dari bangunan pertahanan atau sesuatu 
hal lain yang bersangkutan dengan kepentingan tentara;
2. barang siapa menyembunyikan benda-benda yang diketahuinya behawa dengan cara 
apapun juga, akan diperlukan dalam melaksanakan niat seperti tersebut pada ke-1. 

"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 120";"Jika kejahatan tersebut pasal 113, 115, 117, 118, 119 dilakukan dengan akal 
curang seperti penyesatan, menyamakan, pemakaian nama atau kedudukan palsu, atau 
dengan menawarkan atau menerima, membayangkan atau menjanjikan hadiah, 
keuntungan atau upah dalam bentuk apapun juga, atau dilakukan dengan kekerasan 
atau ancaman kekerasan, maka pidana hilang kemerdekaan dapat diperberat lipat 
dua. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 121";"Barang siapa ditugaskan pemerintah untuk berunding dengan suatu negara asing, 
dengan sengaja merugikan negara, diancam dengan pidana penjara paling lama dua 
belas tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 122";"Diancam dengan pidana penjara paling lama tujuh tahun:
1. barang siapa dalam masa perang yang tidak menyangkut Indonesia, dengan 
sengaja melakukan perbuatan yang membahayakan kenetralan negara, atau dengan 
sengaja melanggar suatu aturan yang dikeluarkan dan diumumkan oleh pemerintah, 
khusus untuk mempertahankan kenbetralan tersebut; 
2. barang siapa dalam masa perang dengan sengaja melanggar aturan yang 
dikeluarkan dan diumumkan oleh pemerintah guna keselamatan negara. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 123";"Seorang warga negara Indonesia yang dengan suka rela masuk tentara negara asing, 
pada hal ia mengetahui bahwa negara itu sedang perang dengan negara Indonesaia, 
atau akan menghadapi perang dengan Indonesia, diancam dalam hal terakhir jika 
pecah perang, denga pidana penjara paling lama lima belas tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 124";"(1) Barang siapa dalam masa perang dengan sengaja memberi bantuan kepada musuh 
atau merugikan negara terhadap musuh, diancam dengan pidana penjara lima belas 
tahun.
(2) Diancam dengan pidana penjara seumur hidup atau selama waktu tertentu atau 
paling lama dua puluh tahun jika si pembuat: 
1. memberitahukan atau memberikan kepada musuh peta, rencana, gambar, atau 
penulisan mengenai bangunan-bangunan tentara;
2. menjadi mata-mata musuh, atau memberikan pondokan kepadanya. 
(3) Pidana mati atau pidana seumur hidup atau selama waktu tertentu paling lama 
dua puluh tahun dijatuhkan jika si pembuat: 
1. memberitahukan atau menyerahkan kepada musuh, menghancurkan atau merusakkan 
sesuatu tempat atau pos yang diperkuat atau diduduki, suatu alat perhubungan, 
gudang persediaan perang, atau kas perang ataupun Angkatan Laut, Angkatan Darat 
atau bagian daripadanya, merintangi, menghalang-halangi atau menggagalkan suatu 
untuk menggenangi air atau karya tentara lainya yang direncanakan atau 
diselenggarakan untuk menangkis tau menyerang; 
2. menyebabkan atau memperlancar timbulnya huru-hara, pemberontakan atau desersi 
dikalangan Angkatan Perang. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 125";"Permufakatan jahat untuk melakukan kejahatan sebagaimana dimaksudkan dalam pasal 
124, diancam dengan pidana paling lama enam tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 126";"Diancam dengan pidana penjara paling lama tujuh tahun barang siapa dalam masa 
perang, tidak dengan maksud membantu musuh atau merugikan negara sehingga 
menguntungkan musuh, dnegan sengaja: 
1. memberikan pondokan kepada mata-mata musuh, menyembunyikannya atau 
membantunya melarikan diri; 
2. menggerakkan atau memperlancar pelarian (desersi) prajurit yang bertugas 
untuk negara. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 127";"(1) Barang siapa dalam masa perang menjalankan tipu muslihat dalam penyerahan 
barang-barang keperluan Angkatan Laut atau Angkatan Darat, diancam dengan pidana 
penjara paling lama dua belas tahun. 
(2) Diancam dengan pidana yang sama barang siapa diserahi mengawasi penyerahan 
barang-barang, membiarkan tipu muslihat itu. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 128";"(1) Dalam hal pemidanaan berdasarkan kejahatan pasal 104, dapat dipidana 
pencabutan hak-hak berdasarkan pasal 35 no. 1-5. 
(2) Dalam hal pemidanaan berdasarkan kejahatan pasal-pasal 106-108, 110-125, 
dapat dipidana pencabutan hak-hak berdasarkan pasal 35 no. 1-3. 
(3) Dalam hal pemidanaan berdasarkan kejahatan pasal 127, yang bersalah dapat 
dilarang menjalankan pencarian yang dijalankannya ketika melakukan kejahatan 
itu, dicabut hak- hak berdasarkan pasal 35 no. 1-4, dan dapat diperintahkan 
supaya putusan hakim diumumkan. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 129";"Pidana-pidana yang berdasarkan terhadap perbuatan-perbuatan dalam pasal-pasal 
124- 127, diterapkan jika salah satu perbuatan dilakukan terhadap atua 
bersangkutan dengan negara sekutu dalam perang bersama.
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 130";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII, 
butir 21. 
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 131";"Tiap-tiap penyerangan terhadap diri presiden atau Wakil Presiden, yang tidak 
termasuk dalam ketentuan pidana lain yang lebih berat, diancam dengan pidana 
penjara paling lama delapan tahun.
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 132";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII, 
butir 23.
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 133";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII, 
butir 23. 
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 134";"Penghinaan dengan sengaja terhadap Presiden atua Wakil Presiden diancam dengan 
pidana penjara paling lama enam tahun, atau pidana denda paling banyak empat 
ribu lima ratus ribu rupiah.
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 135";"Pasal ini ditiadakan bersarkan Undang-undang No. 1 Tahun 1946, pasal VIII, butir 
25. 
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 136";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII 
butir 25. Pasal 136 bis Pengertian penghinaan sebagaimana dimaksud dalam pasal 
134 mencakup juga perumusan perbuatan dalam pasal 135, jika itu dilakukan diluar 
kehadiran yang dihina, baik dengan tingkah laku di muka umum, maupun tidak 
dimuka umum baik lidsan atau tulisan, namun dihadapan lebih dari empat orang, 
atau di hadapan orang ketiga, bertentangan dengan kehendaknya dan oleh karena 
itu merasa tersinggung.
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 137";"(1) Barang siapa menyiarkan, mempertunjukan, atau menempelkan di muka umum 
tulisan atau lukisan yang berisi penghinaan terhadap Presiden atau Wakil 
Presiden, dengan maksud supaya isi penghinaan diketahui atau lebih diketahui 
oleh umum, diancam dengan pidana penjara paling lama satu tahun empat bulan atau 
pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Jika yang bersalah melakukan kejahatan pada waktu menjalankan pencariannya, 
dan pada waktu itu belum lewat dua tahun sejak adanya pemidanaan menjadi tetap 
karena kejahatan semacam itu juga, maka terhadapnya dapat dilarang menjalankan 
pencarian tersebut. 
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 138";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII, 
butir 28.
"
"Bab II";"Kejahatan-Kejahatan Terhadap Martabat Presiden Dan Wakil Presiden";"Pasal 139";"(1) Ayat ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII, 
butir 29. 
(2) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 131, dapat 
dipidana pencabutan hak berdasarkan pasal 35 no. 1-4.
(3) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 134, dapat 
dipidana pencabutan hak berdasarkan pasal 35 no. 1-3. 
Sahabat Serta Wakilnya
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 139a";"Makar dengan maksud melepaskan wilayah atau daerah lain dari suatu negara 
sahabat untuk seluruhnya atau sebagian dari kekuasaan pemerintah yang berkuasa 
di situ, diancam dengan pidana penjara paling lama lima tahun.
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 139b";"Makar dengan maksud meniadakan atau mengubah secara tidak sah bentuk 
pemerintahan negara sahabat atau daerahnya yang lain, diancam dengan pidana 
penjara paling lama empat tahun. 
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 139c";"Permufakatan jahat untuk melakukan kejahatan sebagaimana dirumuskan dalam pasal- 
pasal 139a dan 139b, diancam dengan pidana penjara paling lama satu tahun enam 
bulan. 
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 140";"(1) Makar terhadap nyawa atau kemerdekaan raja yang memerintah atau kepala 
negara sahabat, diancam dengan pidana penjara paling lama lima belas tahun.
(2) Jika mekar terhadap nyawa mengakibatkan kematian atau dilakukan dengan 
rencana terlebih dahulu mengakibatkan kematian, diancam dengan pidana mati atau 
pidana penjara seumur hidup atau pidana penjara sementara paling lama dua puluh 
tahun. (3) Jika makar terhadap nyawa dilakukan dengan rencana terlebih dahulu 
mengakibatkan kematian, diancam dengan pidana mati atau pidana penjara seumur 
hidup atau pidana penjara sementara paling lama dua puluh tahun. 
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 141";"Tiap-tiap perbuatan penyerangan terhadap diri raja yang memerintah atau kepala 
negara sahabat, yang tidak termasuk dalam ketentuan pidana yang lebih berat, 
diancam dengan pidana penjara paling lama tujuh tahun.
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 142";"Penghinaan dengan sengaja terhadap raja yang memerintah atau kepala negara 
sahabat, diancam dengan pidana penjara paling lama lima tahun atau pidana paling 
banyak empat ribu lima ratus ribu rupiah.
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 142a";"Barang siapa menodai bendera kebangsaan negara sahabat diancam dengan pidana 
penjara paling lama empat tahun atau pidana denda paling banyak empat ribu lima 
ratus rupiah.
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 144";"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan dimuka umum 
tulisan atau lukisan yang berisi penghinaan terhadap raja yang memerintah, atau 
kepala negara sahabat, atau wakil negara asing di Indonesia dalam pangkatnya, 
dengan maksud supaya penghinaan itu diketahui atau lebih diketahui oleh umum, 
diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda 
paling banyak empat ribu lima ratus rupiah. 
(2) Jika yang bersalah melakukan kejahatan itu pada waktu menjalankan 
pencarianya, dan pada saat itu belum lewat dua tahun sejak ada pemidanaan yang 
tetap karena kejahatan semacam itu juga, ia dapat dilarang menjalankan pencarian 
tersebut.
"
"Bab III";"Kejahatan-Kejahatan Terhadap Negara Sahabat Dan Terhadap Kepala Negara";"Pasal 145";"(1) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 140, dapat 
dipidanan pencabutan hak berdasarkan pasal 35 no. 1-5. 
(2) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 141, dapat 
dipidana pencabutan hak berdasarkan pasal 335 no. 1-4.
(3) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal-pasal 139a, 
139b, 139c, 142, dan 143, dapat dipidana pencabutan hak berdasarkan pasal 35 no. 
1-3. 
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 146";"Barang siapa dengan kekerasan atau ancaman kekerasan membubarkan rapat badan 
pembentuk undang-undang, badan pemerintahan atau badan perwakilan rakyat, yang 
dibentuk oleh atau atas nama Pemerintah, atau memaksa badan-badan itu supaya 
mengambil atau tidak mengambil sesuatu putusan atau mengambil sesuatu putusan 
atau mengusir ketua atau anggota rapat itu, diancam dengan ancaman penjara 
paling lama sembilan tahun. 
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 147";"Barang siapa dengan kekerasan atau ancaman kekerasan, dengan sengaja merintangi 
ketua atau anggota badan pembentuk undang-undang, badan pemerintahan atau badan 
perwakilan rakyat, yang dibentuk oleh atau atas nama Pemerintah, untuk 
menghadiri rapat badan-badan itu, diancam dengan pidana penjara paling lama dua 
tahun delapan bulan.
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 148";"Barang siapa pada waktu diadakan pemilihan berdasarkan aturan-aturan umum, 
dengan kekerasan atau ancaman kekerasan, dengan sengaja merintangi seseorang 
memakai hak pilihnya dengan bebas dan tidak terganggu, diancam dengan pidana 
penjara paling lama satu tahun empat bulan. 
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 149";"(1) Barang siapa pada waktu diadakan pemilihan berdasarkan aturan-aturan umum, 
dengan memberi atau menjanjikan sesuatu, menyuap seseorang supaya tidak memakai 
hak pilihnya atau supaya memakai hak itu menurut cara tertentu, diancam dengan 
pidana penjara paling lama sembilan bulan atau pidana denda paling lama empat 
ribu lima ratus rupiah.
(2) Pidana yang sama diterapkan kepada pemilih, yang dengan menerima pemberian 
atau janji, mau disuap. 
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 150";"Barang suiapa pada waktu diadakan pemilihan berdasarkan aturan-aturan umum, 
melakukan tipu muslihat berdasarkan aturan-aturan umum, melakukan tipu muslihat 
sehingga suara seorang pemilih menjadi tidak berharga atau menyebabkan orang 
lain daripada yang dimaksud oleh pemilih yang ditunjuk, diancam dengan pidana 
penjara paling lama sembilan bulan. 
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 151";"Barang siapa memakai nama orang lain untuk ikut dalam pemilihan berdasarkan 
aturan- aturan umum, diancam dengan pidana penjara paling lama satu tahun empat 
bulan.
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 152";"Barang siapa pada waktu diadakan pemilihan berdasarkan aturan-aturan umum dengan 
sengaja menggagalkan pemungutan suara yang telah diadaka atau mengadakan tipu 
muslihat yang menyebabkan putusan pemungutan suara itu lain dari yang seharusnya 
diperoleh berdasarkan kartu-kartu pemungutan suara yang masuk secara sah atau 
berdasarkan suara-suara yang dikeluarkan secara sah, diancam dengan pidana 
penjara paling lama dua tahun. 
"
"Bab IV";"Kejahatan Terhadap Melakukan Kewajiban Dan Hak Kenegaraan";"Pasal 153";"(1) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 146, dapat 
dipidana pencabutan hak berdasarkan pasal 35 ke 1-3. 
(2) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 147-152, 
dapat dipidana pencabutan hak berdasarkan pasal 35 ke-3. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 153 bis";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal 8, butir 
32. Pasal 153 ter Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 
1946, pasal 8, butir 32. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 154";"Barang siapa di muka umum menyatakan perasaan permusuhan, kebencian atau 
penghinaan terhadap Pemerintah Indonesia, diancam dengan pidana penjara paling 
lama tujuh tahun atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 154a";"Barang siapa menodai bendera kebangsaan Republik Indonesia dan lambang Negara 
Republik Indonesia, diancam dengan pidana penjara paling lama empat tahun atau 
pidana denda paling banyak empat puluh lima ribu rupiah. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 155";"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan tulisan atau 
lukisan di muka umum yang mengandung pernyataan perasaan permusuhan, kebencian 
atau penghinaan terhadap Pemerintah Indonesia, dengan maksud supaya isinya 
diketahui atau lebih diketahui oleh umum, diancam dengan pidana penjara paling 
lama empat tahun enam bulan atau pidana denda paling banyak empat ribu lima 
ratus rupiah. 
(2) Jika yang bersalah melakukan kejahatan tersebut pada waktu menjalankan 
pencariannya dan pada saat itu belum lewat lima tahun sejak pemidanaannya 
menjadi tetap karena melakukan kejahatan semacam itu juga, yang bersangkutan 
dapat dilarang menjalankan pencarian tersebut.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 156";"Barang siapa di rnuka umum menyatakan perasaan permusuhan, kebencian atau 
penghinaan terhadap suatu atau beherapa golongan rakyat Indonesia, diancam 
dengan pidana penjara paling lama empat tahun atau pidana denda paling banyak 
empat ribu lima ratus rupiah. Perkataan golongan dalam pasal ini dan pasal 
berikutnya berarti tiap-tiap bagian dari rakyat Indonesia yang berbeda dengan 
suatu atau beberapa hagian lainnya karena ras, negeri asal, agama, tempat, asal, 
keturunan, kebangsaan atau kedudukan menurut hukum tata negara. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 156a";"Dipidana dengan pidana penjara selama-lumanya lima tahun barang siapa dengan 
sengaja di muka umum mengeluarkan perasaan atau melakukan perbuatan: a. yang 
pada pokoknya bcrsifat permusuhan, penyalahgunaan atau penodaan terhadap suatu 
agama yang dianut di Indonesia; b. dengan maksud agar supaya orang tidak 
menganut agama apa pun juga, yang bersendikan Ketuhanan Yang Maha Esa. 
"
